gameNum,player,points,s1v1,s1r1,s1v2,s1r2,s1v3,s1r3,s1tot,s2v1,s2r1,s2v2,s2r2,s2v3,s2r3,s2tot,stot
18,1,6,8.33,0.3675,13.89,0.31,8.33,0.3233,10.060264,11.11,0.31,8.33,0.3233,2.78,0.3233,7.035963,17.096227
18,2,9,11.11,0.3233,13.89,0.3233,8.33,0.3233,10.775589,13.89,0.31,5.56,0.3675,5.56,0.295,7.9894,18.764989
18,3,6,13.89,0.3233,8.33,0.3675,0,0.31,7.551912,11.11,0.295,13.89,0.31,2.78,0.31,8.44515,15.997062
18,4,10,13.89,0.295,11.11,0.31,5.56,0.3675,9.58495,11.11,0.295,11.11,0.3233,8.33,0.3233,9.562402,19.147352
19,1,10,11.11,0.3233,11.11,0.3675,8.33,0.3675,10.736063,5.56,0.3233,8.33,0.295,5.56,0.3233,6.052446,16.788509
19,2,4,11.11,0.3233,13.89,0.31,8.33,0.295,10.355113,8.33,0.31,11.11,0.3675,5.56,0.3233,8.462773,18.817886
19,3,5,13.89,0.295,11.11,0.3675,5.56,0.3233,9.978023,13.89,0.31,8.33,0.295,5.56,0.3233,8.560798,18.538821
19,4,8,8.33,0.31,13.89,0.3675,8.33,0.3675,10.74815,11.11,0.3233,13.89,0.31,5.56,0.3233,9.695311,20.443461
20,1,6,8.33,0.3675,13.89,0.31,8.33,0.3233,10.060264,5.56,0.3675,8.33,0.295,5.56,0.31,6.22425,16.284514
20,2,10,13.89,0.295,11.11,0.3233,5.56,0.3233,9.486961,11.11,0.3675,13.89,0.31,5.56,0.31,10.112425,19.599386
20,3,7,13.89,0.295,8.33,0.3233,5.56,0.3675,8.833939,11.11,0.3233,8.33,0.295,2.78,0.3233,6.947987,15.781926
20,4,6,11.11,0.3675,13.89,0.295,8.33,0.295,10.637825,11.11,0.3675,11.11,0.3233,8.33,0.3233,10.367877,21.005702
21,1,8,11.11,0.3675,11.11,0.3233,8.33,0.3675,10.736063,5.56,0.31,11.11,0.3233,5.56,0.3233,7.113011,17.849074
21,2,7,13.89,0.295,8.33,0.295,5.56,0.31,8.2785,13.89,0.3233,2.78,0.31,0,0,5.352437,13.630937
21,3,10,11.11,0.3233,11.11,0.3233,8.33,0.295,9.641076,11.11,0.3675,13.89,0.3675,5.56,0.3233,10.985048,20.626124
21,4,6,13.89,0.3675,8.33,0.295,5.56,0.31,9.285525,13.89,0.3233,8.33,0.3675,5.56,0.31,9.275512,18.561037
22,1,9,13.89,0.3233,8.33,0.295,0,0,6.947987,11.11,0.295,11.11,0.3675,8.33,0.31,9.942675,16.890662
22,2,10,11.11,0.3233,13.89,0.3675,8.33,0.3233,11.389527,13.89,0.31,5.56,0.31,2.78,0.295,6.8496,18.239127
22,3,4,11.11,0.3233,13.89,0.31,5.56,0.3233,9.695311,13.89,0.3233,8.33,0.31,0,0.3233,7.072937,16.768248
22,4,6,13.89,0.3233,8.33,0.3675,5.56,0.3675,9.595212,13.89,0.31,11.11,0.295,8.33,0.3233,10.276439,19.871651
23,1,4,11.11,0.3233,13.89,0.3233,5.56,0.295,9.7227,11.11,0.3233,0,0.3233,0,0,3.591863,13.314563
23,2,7,11.11,0.3233,13.89,0.3233,8.33,0.3233,10.775589,8.33,0.295,11.11,0.3675,5.56,0.295,8.180475,18.956064
23,3,10,11.11,0.3233,11.11,0.295,8.33,0.3675,9.930588,13.89,0.3675,8.33,0.295,5.56,0.31,9.285525,19.216113
23,4,6,13.89,0.31,11.11,0.3675,5.56,0.31,10.112425,5.56,0.3233,8.33,0.31,5.56,0.295,6.020048,16.132473
24,1,10,13.89,0.3233,8.33,0.3233,5.56,0.31,8.907326,5.56,0.31,11.11,0.295,5.56,0.31,6.72465,15.631976
24,2,7,11.11,0.295,8.33,0.3233,2.78,0.3675,6.992189,13.89,0.3233,8.33,0.3233,5.56,0.295,8.823926,15.816115
24,3,9,13.89,0.3675,8.33,0.3233,5.56,0.3233,9.595212,11.11,0.295,13.89,0.3675,8.33,0.31,10.964325,20.559537
24,4,6,8.33,0.3233,11.11,0.295,5.56,0.31,7.694139,11.11,0.3675,11.11,0.295,8.33,0.3233,10.053464,17.747603
25,1,7,11.11,0.295,13.89,0.3675,8.33,0.3233,11.075114,8.33,0.31,11.11,0.3233,2.78,0.295,6.994263,18.069377
