gameNum,player,points,won,s1v1,s1r1,s1tile1,s1v2,s1r2,s1tile2,s1v3,s1r3,s1tile3,s1tot,s2v1,s2r1,s2tile1,s2v2,s2r2,s2tile2,s2v3,s2r3,s2tile3,s2tot,stot
11,4,5,0,8.33,0.31,2.5823,13.89,0.3675,5.104575,8.33,0.31,2.5823,10.269175,11.11,0.3233,3.591863,8.33,0.295,2.45735,2.78,0.3233,0.898774,6.947987,17.217162
12,1,5,0,13.89,0.3233,4.490637,5.56,0.3233,1.797548,5.56,0.295,1.6402,7.928385,5.56,0.3233,1.797548,8.33,0.3233,2.693089,5.56,0.3233,1.797548,6.288185,14.21657
12,2,6,0,11.11,0.31,3.4441,11.11,0.295,3.27745,8.33,0.3233,2.693089,9.414639,11.11,0.3675,4.082925,8.33,0.3233,2.693089,2.78,0.31,0.8618,7.637814,17.052453
12,3,6,0,11.11,0.3233,3.591863,13.89,0.3675,5.104575,8.33,0.3233,2.693089,11.389527,13.89,0.295,4.09755,11.11,0.3675,4.082925,5.56,0.3675,2.0433,10.223775,21.613302
12,4,10,1,8.33,0.31,2.5823,13.89,0.3675,5.104575,8.33,0.3233,2.693089,10.379964,11.11,0.31,3.4441,13.89,0.3233,4.490637,5.56,0.3233,1.797548,9.732285,20.112249
13,1,6,0,11.11,0.3233,3.591863,13.89,0.31,4.3059,8.33,0.3675,3.061275,10.959038,5.56,0.295,1.6402,8.33,0.3233,2.693089,5.56,0.31,1.7236,6.056889,17.015927
13,2,6,0,13.89,0.3675,5.104575,8.33,0.295,2.45735,5.56,0.3233,1.797548,9.359473,13.89,0.3675,5.104575,8.33,0.3233,2.693089,0,0,0,7.797664,17.157137
13,3,3,0,13.89,0.31,4.3059,11.11,0.3675,4.082925,8.33,0.3675,3.061275,11.4501,5.56,0.295,1.6402,5.56,0.3233,1.797548,0,0,0,3.437748,14.887848
13,4,10,1,11.11,0.295,3.27745,11.11,0.295,3.27745,8.33,0.3233,2.693089,9.247989,13.89,0.3675,5.104575,8.33,0.3233,2.693089,5.56,0.3233,1.797548,9.595212,18.843201
14,1,4,0,11.11,0.3233,3.591863,13.89,0.3675,5.104575,8.33,0.3233,2.693089,11.389527,13.89,0.3233,4.490637,5.56,0.3675,2.0433,5.56,0.3233,1.797548,8.331485,19.721012
14,2,10,1,11.11,0.295,3.27745,13.89,0.3233,4.490637,5.56,0.31,1.7236,9.491687,11.11,0.3675,4.082925,8.33,0.3233,2.693089,2.78,0.3233,0.898774,7.674788,17.166475
14,3,5,0,13.89,0.31,4.3059,11.11,0.3675,4.082925,5.56,0.295,1.6402,10.029025,13.89,0.3675,5.104575,8.33,0.295,2.45735,5.56,0.3675,2.0433,9.605225,19.63425
14,4,8,0,11.11,0.295,3.27745,11.11,0.295,3.27745,8.33,0.3233,2.693089,9.247989,8.33,0.31,2.5823,13.89,0.31,4.3059,8.33,0.3233,2.693089,9.581289,18.829278
15,1,9,0,13.89,0.3675,5.104575,8.33,0.3233,2.693089,5.56,0.295,1.6402,9.437864,8.33,0.3233,2.693089,11.11,0.3675,4.082925,5.56,0.295,1.6402,8.416214,17.854078
15,2,8,0,11.11,0.295,3.27745,13.89,0.3675,5.104575,8.33,0.31,2.5823,10.964325,13.89,0.3233,4.490637,8.33,0.3233,2.693089,5.56,0.31,1.7236,8.907326,19.871651
15,3,6,0,11.11,0.3233,3.591863,11.11,0.31,3.4441,8.33,0.3675,3.061275,10.097238,13.89,0.3233,4.490637,2.78,0.3675,1.02165,0,0.3233,0,5.512287,15.609525
15,4,10,1,13.89,0.3233,4.490637,11.11,0.3675,4.082925,5.56,0.31,1.7236,10.297162,11.11,0.3233,3.591863,13.89,0.31,4.3059,5.56,0.295,1.6402,9.537963,19.835125
16,1,7,0,11.11,0.31,3.4441,13.89,0.295,4.09755,11.11,0.3675,4.082925,11.624575,13.89,0.3675,5.104575,8.33,0.3233,2.693089,0,0,0,7.797664,19.422239
16,2,10,1,11.11,0.31,3.4441,13.89,0.3233,4.490637,8.33,0.295,2.45735,10.392087,13.89,0.295,4.09755,5.56,0.3675,2.0433,5.56,0.3233,1.797548,7.938398,18.330485
16,3,7,0,11.11,0.3233,3.591863,11.11,0.3233,3.591863,8.33,0.3233,2.693089,9.876815,13.89,0.295,4.09755,5.56,0.31,1.7236,2.78,0.31,0.8618,6.68295,16.559765
16,4,7,0,13.89,0.3675,5.104575,8.33,0.31,2.5823,5.56,0.3675,2.0433,9.730175,8.33,0.295,2.45735,13.89,0.3233,4.490637,11.11,0.3233,3.591863,10.53985,20.270025
17,1,6,0,8.33,0.31,2.5823,13.89,0.3233,4.490637,5.56,0.3233,1.797548,8.870485,13.89,0.3675,5.104575,2.78,0.3675,1.02165,0,0.3675,0,6.126225,14.99671
17,2,7,0,11.11,0.3675,4.082925,13.89,0.3233,4.490637,5.56,0.295,1.6402,10.213762,11.11,0.31,3.4441,8.33,0.3233,2.693089,2.78,0.3675,1.02165,7.158839,17.372601
