gameNum,player,points,s1v1,s1r1,s1v2,s1r2,s1v3,s1r3,s1tot,s2v1,s2r1,s2v2,s2r2,s2v3,s2r3,set2tot
42,2,10,5,0.295,9,0.3233,10,0.3233,1,6,0.3675,4,0.295,11,0.3233,1
42,3,6,5,0.295,9,0.31,10,0.3675,1,3,0.3233,9,0.3233,11,0.3233,1
42,4,6,8,0.3675,10,0.3675,0,0,1,8,0.3675,10,0.3233,0,0,1
43,1,10,4,0.3675,8,0.3233,10,0.295,1,6,0.295,2,0.31,0,0,1
43,2,7,5,0.31,8,0.3675,10,0.31,1,6,0.3675,4,0.3233,3,0.3233,1
43,3,8,5,0.3233,6,0.3675,11,0.3233,1,9,0.3675,10,0.31,11,0.3233,1
43,4,2,6,0.3675,11,0.295,12,0.31,1,6,0.295,9,0.3675,3,0.3233,1
44,1,8,5,0.3233,6,0.31,9,0.3675,1,6,0.31,3,0.3233,11,0.3233,1
44,2,5,8,0.3233,4,0.295,3,0.3233,1,9,0.295,10,0.3675,11,0.31,1
44,3,10,6,0.31,9,0.295,3,0.3233,1,5,0.295,8,0.295,10,0.3675,1
44,4,9,8,0.295,4,0.3675,3,0.3233,1,4,0.295,5,0.3233,11,0.31,1
45,1,7,5,0.31,8,0.295,10,0.3233,1,9,0.3233,10,0.3233,2,0.295,1
45,2,10,5,0.31,8,0.3233,10,0.3675,1,4,0.3233,9,0.3233,11,0.295,1
45,3,6,8,0.3233,4,0.3233,3,0.31,1,6,0.3675,3,0.31,11,0.3675,1
45,4,6,5,0.31,6,0.3675,9,0.3675,1,8,0.295,4,0.3233,3,0.31,1
46,1,5,5,0.3233,8,0.3675,10,0.3675,1,8,0.3233,4,0.31,0,0,1
46,2,6,5,0.3233,9,0.3675,10,0.3233,1,6,0.295,11,0.31,0,0,1
46,3,10,4,0.3233,9,0.3675,11,0.31,1,9,0.31,10,0.3675,0,0.31,1
46,4,8,6,0.295,4,0.3233,3,0.31,1,6,0.295,4,0.31,3,0.3233,1
47,1,5,5,0.3233,9,0.3675,10,0.3233,1,8,0.3675,4,0.3233,0,0.3233,1
47,2,12,8,0.3233,10,0.3233,0,0,1,8,0.3675,10,0.295,3,0.31,1
47,3,6,5,0.3233,6,0.295,11,0.31,1,4,0.295,9,0.3675,2,0.3233,1
47,4,6,5,0.3675,9,0.3675,10,0.295,1,6,0.295,4,0.3233,3,0.31,1
48,1,11,5,0.3675,8,0.3233,10,0.3233,1,8,0.31,4,0.31,3,0.3233,1
48,2,9,5,0.31,6,0.3675,9,0.3675,1,6,0.3675,3,0.3233,11,0.295,1
48,3,6,9,0.3233,10,0.3233,11,0.3675,1,5,0.31,8,0.31,10,0.295,1
48,4,7,4,0.31,5,0.31,11,0.3675,1,6,0.295,9,0.3233,2,0.295,1
49,1,4,6,0.3233,9,0.295,3,0.3233,1,6,0.3233,3,0.3233,11,0.31,1
49,2,10,5,0.3233,6,0.3233,9,0.3675,1,5,0.295,8,0.31,10,0.31,1
49,3,4,8,0.3675,4,0.295,3,0.3233,1,9,0.3675,10,0.3675,0,0.3675,1
49,4,5,8,0.31,4,0.3675,3,0.3233,1,4,0.295,5,0.3233,11,0.31,1
50,1,5,6,0.3233,9,0.3675,10,0.295,1,5,0.3233,6,0.3233,11,0.3233,1
50,2,10,8,0.295,4,0.3233,3,0.3675,1,4,0.31,9,0.3233,11,0.3233,1
50,3,4,5,0.3233,8,0.295,10,0.295,1,5,0.31,9,0.3233,2,0.31,1
50,4,8,3,0.3675,9,0.3233,10,0.31,1,3,0.295,4,0.31,5,0.3233,1
